date,peak_pos,last_pos,weeks,rank,change,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
6/21/2018,41,49,5,41,8,0.529,0.0856,161.989,0.307,0.0769,0.000335,4,0.671,0,165820,-7.226,0.203,1
6/21/2018,11,11,2,31,-20,0.308,0.0933,122.099,0.338,0.125,0,4,0.925,11,145507,-6.562,0.265,0
6/21/2018,22,31,5,22,9,0.724,0.12,102.061,0.0486,0.0945,1.68E-06,4,0.601,6,207905,-4.856,0.508,1
6/21/2018,11,25,11,23,2,0.568,0.0952,152.279,0.411,0.0256,0,4,0.82,6,210787,-8.23,0.535,0
6/21/2018,58,77,4,93,-16,0.402,0.0928,103.313,0.0262,0.676,0,4,0.552,11,193200,-7.431,0.382,1
6/21/2018,7,34,7,20,14,0.563,0.136,145.028,0.0454,0.354,0,4,0.68,10,231267,-5.843,0.374,1
6/21/2018,6,6,11,7,-1,0.779,0.078,81.965,0.0531,0.0862,0,4,0.561,10,256064,-5.107,0.235,0
6/21/2018,4,52,11,54,-2,0.599,0.327,134.144,0.0369,0.211,0,3,0.449,1,228373,-4.892,0.165,1
6/21/2018,10,46,10,43,3,0.766,0.107,97.092,0.384,0.307,1.38E-05,4,0.643,6,191606,-4.788,0.463,0
6/21/2018,69,0,1,69,,0.504,0.121,110.011,0.0321,0.401,1.44E-06,4,0.729,8,197001,-6.784,0.305,0
6/21/2018,25,37,14,25,12,0.404,0.0911,95.045,0.0682,0.216,0.000357,4,0.75,9,232253,-10.178,0.0499,0
6/21/2018,43,65,19,64,1,0.803,0.434,94.981,0.0468,0.188,0,4,0.772,1,242160,-3.035,0.853,1
6/21/2018,24,66,9,68,-2,0.506,0.0933,139.974,0.161,0.022,0,4,0.932,11,181714,-7.755,0.696,1
6/21/2018,66,71,8,66,5,0.423,0.0981,90.514,0.0538,0.339,0.862,4,0.743,8,227972,-12.241,0.384,1
6/21/2018,10,48,4,71,-23,0.719,0.306,77.501,0.0372,0.00267,0,4,0.557,2,242334,-4.515,0.344,0
6/21/2018,47,0,1,47,,0.469,0.099,110.573,0.104,0.126,7.32E-05,4,0.58,0,165053,-5.946,0.369,0
6/21/2018,67,0,1,,,0.751,0.182,104.999,0.16,0.472,4.71E-06,4,0.709,6,140527,-3.801,0.37,1
6/21/2018,62,0,1,62,,0.81,0.158,151.643,0.0632,0.00457,0,4,0.334,9,206605,-4.855,0.306,0
6/21/2018,11,14,18,13,1,0.88,0.128,95.079,0.0504,0.205,0,4,0.626,9,202621,-2.384,0.534,0
6/21/2018,48,56,10,48,8,0.805,0.172,92.401,0.0473,0.0997,0,4,0.602,7,199627,-6.079,0.322,1
6/21/2018,1,5,21,4,1,0.449,0.552,77.169,0.109,0.0332,8.29E-05,4,0.754,7,198973,-9.211,0.357,1
6/21/2018,15,30,25,26,4,0.556,0.105,80.009,0.0306,0.263,0,4,0.677,9,179507,-6.544,0.521,1
6/21/2018,3,3,10,3,0,0.691,0.115,136.005,0.137,0.107,0,4,0.872,5,255373,-6.603,0.77,0
6/21/2018,46,53,18,46,7,0.505,0.104,91.97,0.253,0.535,2.55E-06,4,0.752,9,197437,-7.621,0.419,1
6/21/2018,64,76,15,76,0,0.571,0.101,80.981,0.0281,0.476,0.00114,4,0.557,10,219600,-8.106,0.392,1
6/21/2018,86,86,3,86,0,0.878,0.0505,94.014,0.0452,0.0875,0,4,0.612,6,188013,-3.556,0.599,1
6/21/2018,19,32,3,28,4,0.592,0.0831,149.953,0.333,0.263,0,4,0.899,11,214139,-7.901,0.504,0
6/21/2018,49,54,22,51,3,0.544,0.0824,97.028,0.0943,0.0403,0,4,0.836,7,217947,-5.975,0.51,1
6/21/2018,11,20,13,16,4,0.711,0.125,139.967,0.0706,0.0544,0,4,0.618,5,211360,-7.248,0.488,1
6/21/2018,28,68,12,72,-4,0.678,0.344,175.985,0.438,0.121,0,4,0.733,6,142000,-7.771,0.841,1
6/21/2018,73,0,1,73,,0.597,0.195,100.051,0.037,0.339,0.0404,4,0.585,0,324674,-7.499,0.227,1
6/21/2018,10,60,8,65,-5,0.782,0.113,141.869,0.15,0.21,0,4,0.831,0,191437,-6.274,0.199,1
6/21/2018,84,0,1,84,,0.869,0.29,91.988,0.0289,0.00261,1.77E-06,4,0.549,4,178733,-4.905,0.433,0
6/21/2018,34,42,17,34,8,0.592,0.111,143.954,0.0615,0.519,0,4,0.731,6,198342,-8.588,0.427,1
6/21/2018,78,79,3,78,1,0.144,0.128,114.006,0.0438,0.985,0.923,4,0.624,4,207554,-14.087,0.13,0
6/21/2018,6,9,5,6,3,0.566,0.34,83.903,0.2,0.349,0,4,0.511,6,239836,-7.23,0.218,0
6/21/2018,2,12,34,10,2,0.668,0.219,153.953,0.0851,0.161,0,4,0.671,10,163553,-7.086,0.487,1
6/21/2018,63,74,6,63,11,0.367,0.0999,71.957,0.0266,0.84,0,4,0.638,4,217120,-7.906,0.219,1
6/21/2018,11,23,21,15,8,0.789,0.451,142.929,0.0722,0.0161,2.77E-06,4,0.71,4,131064,-3.874,0.717,1
6/21/2018,6,18,26,19,-1,0.713,0.137,129.923,0.0747,0.181,0.000637,4,0.637,0,226973,-4.333,0.243,1
6/21/2018,6,40,46,35,5,0.7,0.153,116.073,0.0694,0.00261,1.56E-05,4,0.762,9,209320,-6.021,0.608,0
6/21/2018,1,2,10,1,1,0.913,0.114,93.35,0.0736,0.0934,0.000124,4,0.567,8,210926,-6.471,0.792,1
6/21/2018,3,13,8,9,4,0.696,0.274,121.969,0.0529,0.0375,5.65E-06,4,0.703,0,205947,-5.482,0.366,1
6/21/2018,30,38,10,30,8,0.862,0.0814,123.994,0.11,0.037,2.19E-05,4,0.791,9,214847,-3.24,0.592,0
6/21/2018,34,45,13,45,0,0.781,0.191,144.075,0.0311,0.00585,0,4,0.544,6,221800,-6.16,0.527,0
6/21/2018,57,80,8,81,-1,0.485,0.28,73.717,0.0577,0.328,0.918,4,0.629,4,266036,-11.835,0.208,0
6/21/2018,42,72,7,77,-5,0.845,0.638,90.015,0.352,0.224,0,4,0.809,10,176990,-5.843,0.67,0
6/21/2018,1,21,42,17,4,0.299,0.123,94.992,0.0263,0.779,0,3,0.587,8,259550,-7.365,0.356,1
6/21/2018,13,35,18,33,2,0.587,0.118,94.978,0.262,0.15,0,4,0.923,11,276659,-6.401,0.27,1
6/21/2018,28,67,15,75,-8,0.63,0.138,174.046,0.0893,0.05,0.00031,4,0.704,11,333871,-10.521,0.476,0
6/21/2018,7,44,19,44,0,0.677,0.111,100.584,0.093,0.0762,2.17E-05,4,0.735,2,211440,-4.979,0.188,1
6/21/2018,39,0,1,39,,0.597,0.195,100.051,0.037,0.339,0.0404,4,0.585,0,324674,-7.499,0.227,1
6/21/2018,7,51,15,52,-1,0.613,0.123,75.023,0.145,0.258,0.00372,4,0.74,8,166606,-4.88,0.473,1
6/21/2018,55,55,2,57,-2,0.889,0.136,199.669,0.0991,0.0848,0,4,0.375,3,185200,-3.704,0.881,1
6/21/2018,94,99,2,94,5,0.745,0.104,94.014,0.0464,0.354,2.93E-05,4,0.791,11,188560,-3.695,0.82,0
6/21/2018,50,95,19,98,-3,0.907,0.242,199.943,0.0481,0.0491,0,4,0.491,7,182667,-3.594,0.631,1
6/21/2018,56,64,13,56,8,0.738,0.689,97.021,0.0292,0.117,0.000384,4,0.638,6,243147,-4.976,0.657,0
6/21/2018,36,43,8,36,7,0.419,0.0788,97.007,0.104,0.0326,0.908,4,0.756,11,417399,-10.781,0.0359,0
6/21/2018,32,41,14,32,9,0.594,0.133,86.131,0.0289,0.0292,0,4,0.474,11,195987,-5.756,0.503,1
6/21/2018,5,10,20,8,2,0.657,0.112,107.01,0.0449,0.171,0,4,0.753,7,184732,-3.061,0.437,1
6/21/2018,1,7,6,12,-5,0.463,0.354,120.024,0.137,0.117,0,4,0.854,5,225773,-6.159,0.549,1
6/21/2018,27,27,2,85,-58,0.417,0.186,110.111,0.524,0.374,0,4,0.665,1,215320,-6.731,0.04,0
6/21/2018,24,26,22,29,-3,0.603,0.107,126.088,0.0555,0.0959,0,4,0.655,8,190643,-5.014,0.452,1
6/21/2018,12,22,20,21,1,0.655,0.117,134.945,0.0311,0.0362,0,4,0.672,10,201240,-5.021,0.556,0
6/21/2018,53,69,10,53,16,0.772,0.214,119.909,0.0593,0.00101,1.95E-05,4,0.563,5,180243,-6.737,0.394,1
6/21/2018,41,57,15,58,-1,0.773,0.334,180.073,0.0549,0.0364,0.00108,4,0.595,9,173628,-4.736,0.711,0
6/21/2018,6,15,5,11,4,0.243,0.126,120.995,0.0934,0.383,0.897,4,0.801,6,141926,-15.05,0.446,1
6/21/2018,8,8,2,40,-32,0.777,0.228,173.931,0.357,0.145,0,4,0.676,1,188773,-3.241,0.226,0
6/21/2018,28,62,20,61,1,0.574,0.11,132.025,0.0315,0.143,0,3,0.375,7,196800,-5.305,0.406,1
6/21/2018,79,96,2,79,17,0.854,0.124,120.274,0.463,0.0169,0,4,0.596,7,203418,-5.114,0.152,0
6/21/2018,54,82,14,82,0,0.826,0.117,77.093,0.0319,0.00756,0,4,0.448,2,254805,-3.244,0.19,0
6/16/2018,89,0,1,89,,0.77,0.104,92.223,0.0432,0.238,0.00636,4,0.5,8,238148,-5.059,0.633,1
