ObjectID,County,PC Income,Median Household Income,Median Family Income,Population,Number of Households,"Forestry, Fishing, Hunting, and Agriculture Support",Mining,Utilities,Construction,Manufacturing,Wholesale Trade,Retail Trade,Transportation and Warehousing,Information,Finance and Insurance,Real Estate and Rental and Leasing,"Professional, Scientific and Technical Services",Management of Companies and Enterprises,"Admin, Support, Waste Mgt, Remediation Services",Educational Services,Health Cate and Social Assistance,"Arts, Entertainment and Recreation",Accommodation and Food Services,Other Services (Except Public Administration)
2303,Edgefield,19901,42834,57114,26985,9348,0.2193,0,0.0168,0.0262,0.1842,0.0162,0.1082,0.0022,0.0111,0.0119,0.0123,0.0124,0.0012,0.0071,0.0012,0.2597,0.0089,0.0663,0.0349
2314,Clarendon,16562,33066,40492,34971,13132,0.0344,0,0.0007,0.0474,0.1379,0.0237,0.2132,0.0132,0.002,0.0356,0.0078,0.0157,0,0.0219,0.0152,0.2201,0.0134,0.1421,0.0557
2321,Williamsburg,13513,24191,33705,34423,13007,0.0339,0,0.0269,0.057,0.2616,0.0192,0.1521,0.0091,0.039,0.033,0.0084,0.0747,0.0003,0.0415,0.0071,0.1465,0.0046,0.0474,0.0377
2344,Georgetown,23942,42666,54115,60158,24524,0.0312,0,0.0011,0.042,0.136,0.018,0.1424,0.0082,0.0101,0.0392,0.0062,0.0299,0.0026,0.2238,0.0011,0.1164,0.0167,0.1165,0.0583
2269,Saluda,18717,40508,45173,19875,7527,0.0288,0,0.007,0.0756,0.011,0.024,0.2373,0.0303,0.002,0.027,0.004,0.0239,0,0.0198,0.006,0.3636,0.0219,0.0706,0.0474
2435,Colleton,17842,33263,40955,38892,15131,0.0236,0.0003,0.0143,0.0546,0.1723,0.0425,0.2141,0.0077,0.0148,0.0379,0.0156,0.0311,0.0016,0.0265,0.0089,0.1619,0.0064,0.1287,0.0372
2210,Newberry,21410,41815,49560,37508,14709,0.0146,0,0.0035,0.0407,0.3913,0.019,0.1342,0.0193,0.0043,0.026,0.0079,0.0147,0.0002,0.0502,0.0435,0.1022,0.0062,0.0852,0.0371
2234,Lee,12924,23378,35279,19220,6797,0.0108,0,0,0.0424,0.1172,0.0306,0.1948,0.0678,0.0009,0.0306,0.0052,0.0212,0,0.0334,0.0678,0.208,0.0042,0.1115,0.0536
2447,Hampton,16262,34846,43234,21090,7598,0.009,0,0.0164,0.0496,0.311,0.025,0.1936,0.009,0.0079,0.0422,0.0086,0.0419,0,0.0096,0.0008,0.0694,0.0018,0.1194,0.0848
2205,Fairfield,18877,32022,40849,23956,9419,0.0069,0.0015,0.1648,0.0669,0.2076,0.0753,0.1351,0.0138,0.0071,0.0201,0.0092,0.018,0.0073,0.0456,0.0094,0.125,0.0109,0.0445,0.0312
